Files already downloaded
3000
750
Shapes: (3000, 28, 28) (3000,) (10000, 28, 28) (10000,)
Epoch 475, cost = 1.519561, acc = 92.29%
Epoch 476, cost = 1.522380, acc = 92.49%
Epoch 477, cost = 1.519361, acc = 92.17%
Epoch 478, cost = 1.515810, acc = 92.45%
Epoch 479, cost = 1.515065, acc = 92.48%
Epoch 480, cost = 1.523138, acc = 92.28%
Epoch 481, cost = 1.517620, acc = 92.36%
Epoch 482, cost = 1.520137, acc = 92.57%
Epoch 483, cost = 1.519557, acc = 92.26%
Epoch 484, cost = 1.520071, acc = 92.37%
Epoch 485, cost = 1.521237, acc = 92.33%
Epoch 486, cost = 1.519417, acc = 92.27%
Epoch 487, cost = 1.518925, acc = 92.14%
Epoch 488, cost = 1.521314, acc = 92.38%
Epoch 489, cost = 1.516892, acc = 92.35%
Epoch 490, cost = 1.519008, acc = 91.99%
Epoch 491, cost = 1.517118, acc = 92.51%
Epoch 492, cost = 1.520936, acc = 92.23%
Epoch 493, cost = 1.522856, acc = 91.98%
Epoch 494, cost = 1.520401, acc = 92.16%
Epoch 495, cost = 1.516429, acc = 92.04%
Epoch 496, cost = 1.519697, acc = 92.43%
Epoch 497, cost = 1.515176, acc = 92.31%
Epoch 498, cost = 1.518310, acc = 92.40%
Epoch 499, cost = 1.517658, acc = 92.70%
Epoch 500, cost = 1.514854, acc = 92.63%
Epoch 501, cost = 1.514827, acc = 92.06%
Epoch 502, cost = 1.519050, acc = 92.76%
Epoch 503, cost = 1.515131, acc = 92.24%
Epoch 504, cost = 1.517160, acc = 92.53%
Epoch 505, cost = 1.514506, acc = 92.55%
Epoch 506, cost = 1.513327, acc = 92.57%
Epoch 507, cost = 1.515794, acc = 92.29%
Epoch 508, cost = 1.513449, acc = 92.27%
Epoch 509, cost = 1.516978, acc = 92.26%
Epoch 510, cost = 1.514270, acc = 92.63%
Epoch 511, cost = 1.513259, acc = 92.49%
Epoch 512, cost = 1.521715, acc = 92.77%
Epoch 513, cost = 1.515936, acc = 92.29%
Epoch 514, cost = 1.516024, acc = 92.58%
Epoch 515, cost = 1.520202, acc = 92.21%
Epoch 516, cost = 1.514405, acc = 92.28%
Epoch 517, cost = 1.516976, acc = 92.80%
Epoch 518, cost = 1.516078, acc = 92.57%
Epoch 519, cost = 1.512423, acc = 92.33%
Epoch 520, cost = 1.515022, acc = 92.55%
Epoch 521, cost = 1.514609, acc = 92.14%
Epoch 522, cost = 1.508089, acc = 92.49%
Epoch 523, cost = 1.514944, acc = 92.09%
Epoch 524, cost = 1.514864, acc = 92.38%
Epoch 525, cost = 1.510560, acc = 92.33%
Epoch 526, cost = 1.511650, acc = 92.95%
Epoch 527, cost = 1.512399, acc = 92.60%
Epoch 528, cost = 1.512958, acc = 92.52%
